"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","New Hampshire",66.3528,300,64.9482,294,102.532,184,102.444,214,101.099,117,103.057,141,-0.612798,179
"2017","New Mexico",70.4733,115,68.3667,125,103.724,170,106.414,138,102.557,150,103.041,140,3.3731,123
"2017","New Mexico St.",69.516,175,67.0873,210,110.733,44,110.104,72,97.215,42,102.589,127,7.5141,87
"2017","New Orleans",68.4026,236,65.7306,269,101.978,200,100.899,239,99.7015,74,101.896,112,-0.99716,182
"2017","Niagara",71.767,64,68.5297,114,102.044,198,101.165,232,107.484,255,109.389,267,-8.2236,260
"2017","Nicholls St.",71.6051,67,68.9733,98,99.9732,245,100.249,251,113.074,334,114.286,328,-14.0372,316
"2017","NJIT",70.6932,107,67.1206,204,100.242,239,98.7063,278,108.354,278,109.087,261,-10.3803,282
"2017","Norfolk St.",70.2956,126,68.3663,126,96.6704,309,94.1974,330,102.013,138,105.948,196,-11.7509,296
"2017","North Carolina",72.1311,54,70.296,53,116.337,9,122.037,4,98.192,52,94.1267,25,27.91,3
"2017","North Carolina A&T",64.6828,336,62.3238,342,96.5153,312,95.5387,321,116.555,349,122.997,351,-27.4579,349
"2017","North Carolina Central",68.1792,246,65.9679,260,107.753,87,102.888,200,93.6945,12,101.863,110,1.02412,152
"2017","North Carolina St.",71.9609,57,69.8459,68,106.966,98,112.818,44,110.213,316,107.238,224,5.58022,104
"2017","North Dakota",72.5927,43,70.9062,34,106.471,111,102.921,199,100.326,93,103.187,146,-0.266,172
"2017","North Dakota St.",68.7881,217,66.2524,247,105.605,130,104.518,168,104.095,190,104.327,167,0.190227,165
"2017","North Florida",72.2575,51,69.4093,85,101.558,209,101.836,223,110.378,321,109.405,268,-7.56932,254
"2017","North Texas",71.0367,93,69.6406,74,95.8323,318,96.2616,313,106.355,233,110.836,298,-14.574,320
"2017","Northeastern",67.2091,280,65.5463,272,105.823,123,107.085,123,105.918,225,106.407,207,0.677672,157
"2017","Northern Arizona",70.821,103,68.691,108,96.5172,311,95.0347,325,107.599,263,110.624,294,-15.5896,325
"2017","Northern Colorado",70.2878,127,67.9945,153,98.2941,280,96.5161,311,105.667,220,107.099,221,-10.5828,285
"2017","Northern Illinois",69.1186,197,66.2621,246,99.2182,257,98.8701,273,101.093,115,102.365,122,-3.49454,204
"2017","Northern Iowa",64.6433,338,62.952,332,93.6269,332,97.4997,297,99.9793,79,97.5525,53,-0.0527977,168
"2017","Northern Kentucky",70.1039,137,67.4477,192,106.891,101,106.672,132,102.563,151,105.285,186,1.3872,147
"2017","Northwestern",66.2996,305,64.707,300,107.189,94,111.186,58,98.4895,58,95.7128,36,15.4729,38
"2017","Northwestern St.",72.7809,41,70.7889,40,100.874,229,100.817,241,108.98,290,112.581,314,-11.764,297
"2017","Notre Dame",67.853,252,66.7376,220,114.424,15,118.863,16,101.671,133,97.8256,58,21.0378,25
"2017","Oakland",74.4326,18,71.5616,26,105.355,137,104.023,180,95.3573,26,98.2629,61,5.75969,101
"2017","Ohio",72.1946,53,69.8672,66,106.524,110,105.569,148,97.6647,45,99.8639,80,5.70473,102
"2017","Ohio St.",68.6564,226,67.4649,191,105.555,132,111.3,57,101.249,120,100.974,95,10.3255,71
"2017","Oklahoma",71.0981,88,69.4441,84,100.334,237,107.295,119,102.66,153,96.2386,42,11.0565,66
"2017","Oklahoma St.",72.5806,44,69.8951,64,116.954,7,124.793,1,107.54,258,102.653,131,22.1406,24
"2017","Old Dominion",63.7357,346,60.5984,347,100.519,234,100.675,243,95.0578,21,97.1715,51,3.50322,121
"2017","Oral Roberts",71.2691,83,68.5694,110,102.675,181,104.409,170,112.138,331,110.622,293,-6.21328,232
"2017","Oregon",68.7979,216,66.3476,240,113.722,18,117.561,19,95.081,22,94.1003,24,23.4604,16
"2017","Oregon St.",67.0323,285,63.9693,314,92.6391,339,96.8336,305,108.596,283,106.028,201,-9.19458,270
"2017","Pacific",67.7934,260,65.9861,258,96.8443,303,99.5955,264,106.611,240,106.272,202,-6.67652,241
"2017","Penn",67.3571,274,66.1948,249,101.669,205,102.538,209,100.786,105,102.606,128,-0.0680446,169
"2017","Penn St.",71.431,78,69.9655,62,98.3464,279,104.62,163,100.041,81,97.1546,50,7.46524,88
"2017","Pepperdine",69.5437,173,68.071,147,98.6252,269,102.107,218,115.523,345,114.102,326,-11.9954,299
"2017","Pittsburgh",67.2263,279,64.9576,293,106.469,112,112.746,45,109.747,306,103.243,151,9.50312,76
"2017","Portland",66.841,287,65.3299,277,95.8831,317,98.7557,277,108.631,285,108.725,251,-9.96962,278
"2017","Portland St.",74.2481,20,72.1318,19,106.947,99,104.252,175,107.542,259,111.034,299,-6.78148,244
"2017","Prairie View A&M",68.3672,239,67.1094,206,99.0349,263,97.9638,290,107.306,252,111.493,303,-13.5288,310
"2017","Presbyterian",65.2815,324,63.7014,321,89.215,347,89.0115,349,116.446,347,117.869,346,-28.8574,350
"2017","Princeton",64.6464,337,62.7734,336,109.696,55,109.392,83,95.041,19,96.9084,47,12.484,58
"2017","Providence",67.7701,262,65.9537,262,103.256,174,108.062,108,98.2869,54,95.1945,33,12.8678,55
"2017","Purdue",70.0958,138,68.526,115,112.986,20,116.884,24,94.7687,18,92.7027,15,24.1814,15
"2017","Quinnipiac",74.8428,12,72.6672,15,101.218,222,101.265,229,110.276,318,113.033,318,-11.7685,298
"2017","Radford",65.2646,325,63.4688,326,96.7223,308,96.2323,314,106.323,232,107.592,228,-11.3594,293
"2017","Rhode Island",67.3362,275,65.7594,268,108.683,73,110.709,64,96.0807,33,94.9934,32,15.7153,36
"2017","Rice",73.3669,30,71.8701,23,108.991,66,107.886,110,102.872,159,107.091,220,0.795408,156
"2017","Richmond",69.8588,154,68.6957,107,105.671,127,109.297,85,101.322,122,101.331,102,7.96607,84
"2017","Rider",74.0446,22,71.7176,25,101.565,208,100.67,244,101.64,132,104.615,174,-3.94508,213
"2017","Robert Morris",69.9657,148,68.3081,127,91.4553,344,91.6448,341,96.3268,37,100.361,87,-8.71606,264
"2017","Rutgers",67.1803,282,65.7699,266,96.6196,310,101.512,225,100.425,96,99.2122,71,2.29962,134
"2017","Sacramento St.",67.5213,269,65.0685,289,102.629,182,100.828,240,110.044,313,112.329,310,-11.5004,294
"2017","Sacred Heart",71.9149,61,70.541,45,99.0004,265,97.543,296,103.691,177,109.674,276,-12.1306,300
"2017","Saint Joseph's",69.6948,163,67.897,161,99.0066,264,102.307,215,104.281,196,103.119,143,-0.812332,181
"2017","Saint Louis",65.5487,321,63.003,331,93.0083,338,95.4777,322,105.175,211,104.713,175,-9.23508,271
"2017","Saint Mary's",60.8207,350,58.9307,350,118.482,3,118.956,15,92.6522,9,94.336,26,24.6199,14
"2017","Saint Peter's",63.7666,345,60.2597,348,104.082,161,102.529,210,96.2007,34,97.7883,57,4.74069,114
"2017","Sam Houston St.",72.0294,56,69.5947,75,98.4957,276,96.9606,304,100.07,83,103.556,159,-6.59587,239
"2017","Samford",69.5673,171,68.1972,137,108.55,75,108.264,107,105.471,219,107.275,225,0.989052,153
"2017","San Diego",64.3769,340,62.8273,334,96.9519,302,100.175,253,108.11,269,108.285,244,-8.11018,256
"2017","San Diego St.",66.6781,295,64.4253,307,101.85,203,103.996,181,93.9634,14,94.9314,30,9.06498,78
"2017","San Francisco",69.0044,205,68.2901,130,102.46,192,103.358,190,97.0383,41,97.9629,60,5.39553,107
"2017","San Jose St.",71.6272,66,70.1736,57,98.2341,282,100.251,250,104.484,198,104.432,169,-4.1812,214
"2017","Santa Clara",63.9552,342,62.1501,343,102.467,188,105.509,149,101.508,129,102.406,124,3.10307,128
"2017","Savannah St.",82.9977,1,80.5306,1,101.361,215,100.599,245,109.727,304,114.483,330,-13.8837,313
"2017","Seattle",70.0379,141,67.114,205,95.3111,324,95.6391,320,101.567,131,105.128,184,-9.48916,275
"2017","Seton Hall",68.913,211,66.8972,214,104.876,145,109.8,76,100.769,104,95.935,38,13.865,52
"2017","Siena",70.7365,106,68.2136,135,105.663,128,106.039,144,105.279,214,106.483,209,-0.444712,176
"2017","SIU Edwardsville",70.8969,98,68.7196,106,95.4797,322,94.9855,327,108.255,274,109.132,263,-14.1469,317
"2017","SMU",63.8434,344,63.1544,330,116.641,8,120.12,11,93.8224,13,94.813,27,25.3075,11
"2017","South Alabama",70.6554,108,69.2413,88,98.7312,268,98.9045,272,103.831,181,105.309,188,-6.40496,236
"2017","South Carolina",69.4781,178,67.79,169,101.288,220,105.464,150,91.2976,5,88.5449,3,16.9196,30
"2017","South Carolina St.",69.3443,186,67.8384,164,97.8511,290,99.0607,271,115.011,342,118.322,348,-19.2617,336
